piece_id,descr,category
27150,Utensil Umbrella Folded,Minifig Accessories
18394pat0002,Wave Rounded Wing Shaped with Pin (Frozen Water) with Marbled Glitter Trans Clear Pattern,Minifig Accessories
41230stk01,Sticker Sheet for Set 41230 - 30468/6177034,Non-LEGO
41235stk01,Sticker Sheet for Set 41235 31813/6179354,Non-LEGO
4599b,Tap 1 x 1 without Hole in Spout,Minifig Accessories
bel001a,Stetoscope,"Belville, Scala and Fabuland"
14769pr1071,"FLAT TILE 2X2, ROUND, NO. 1071",Tiles Printed
47510pr0001,Duplo Figure Child with Tan Pigtails/Braids - Bright Pink Top with Flowers and White Sleeves - Light Flesh Face and Hands - Magenta Legs,"Non-Buildable Figures (Duplo, Fabuland, etc)"
4282,Plate 2 x 16,Plates
47510pr0003c01,Duplo Figure Child with Reddish Brown Pigtails(Braids) - Bright Pink Top with Dark Pink Heart and Sleeves - Light Flesh Face and Hands - White Legs,"Non-Buildable Figures (Duplo, Fabuland, etc)"
47510wpr0001,Duplo Figure Child with Brown Pigtails/Braids - Yellow Halter Top with White Dots and Blue Bow over White Long Sleeve Top - Medium Flesh Face with Magenta Glasses - Green Legs,"Non-Buildable Figures (Duplo, Fabuland, etc)"
3659,Brick Arch 1 x 4,Bricks Curved
43723,Wedge Plate 3 x 2 Left,Plates Angled
973pr3237c01,Torso - White Blouse with Dark Red Cardigan Print / White Arms / Flesh Hands (Ghostbusters Secretary Janine),Minifigs
973pr3236c01,"Torso Pajamas with Vertical Blue Stripes, Yellow Undershirt and Spots Print / Bright Light Blue Arms / Light Flesh Hands",Minifigs
bel001b,Thermometer,"Belville, Scala and Fabuland"
11212,Plate 3 x 3,Plates
3023,Plate 1 x 2,Plates
3020,Plate 2 x 4,Plates
3626cpr2113,Mini Head No. 2113,Minifigs
bel001d,Otoscope,"Belville, Scala and Fabuland"
6536,Technic Axle and Pin Connector Perpendicular,Technic Connectors
32526,Technic Beam 3 x 5 L-Shape Thick,Technic Beams
63864,Tile 1 x 3,Tiles
3022,Plate 2 x 2,Plates
55882,BRICK 2X4X2 DEC TOOLS,Other
73566,DUPLO SHINGLED ROOF 2X4X2,Other
30111a,Spone,"Belville, Scala and Fabuland"
3626cpr2141,"Mini Head, No. 2141",Minifigs
98138pr0025,"Tile, Round 1 x 1 with Ninjago Trapped Nya Pattern",Tiles Printed
55886pr0001,Scrambler Top 4X8X2 Deco,"Duplo, Quatro and Primo"
95920,"SLEEPING BAG 5X8, DEC.",Other
3004,Brick 1 x 2,Bricks
3021,Plate 2 x 3,Plates
3005,Brick 1 x 1,Bricks
3437,Brick 2 x 2,"Duplo, Quatro and Primo"
970x268pr001,Dark Purple Hips and Trans-Neon Green Legs with Dark Blue Sash and Tattered Dark Purple Robe Pattern ,Minifigs
973pr3732,"Mini Upper Part, No. 3732",Minifigs
3626pr1549,"Head Beard Gray Stubble, Black Moustache and Angry Eyebrows, Lines under Eyes, Smirk Pattern - Stud Recessed ",Minifigs
6692stk01,Stickersheet for 6692,Non-LEGO
3666,Plate 1 x 6,Plates
4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Plates Round and Dishes
52861,PRINCES FIGURE PIA,Other
98138pr0073,"Tile, Round 1 x 1 with Ninjago Trapped Kai Pattern",Tiles Printed
3941,Brick Round 2 x 2 with Axle Hole,Bricks Round and Cones
3034,Plate 2 x 8,Plates
6091,Brick Curved 1 x 2 x 1 1/3 with Curved Top,Bricks Curved
70903stk01,Sticker Sheet for Set 70903 - 30713/6177262,Non-LEGO
3710,Plate 1 x 4,Plates
3070bpr0174,"Flat Tile 1X1, No. 174",Tiles Printed
6259pr0001,Cylinder Half 2 x 4 x 4 with Window and Flower Box Pattern,Bricks Round and Cones
24207pr0001,"Raccoon with Blue Ears, Feet and Striped Tail Pattern (Windflower)",Plants and Animals
15625pr0007,Ramp 4 x 8 x 6.4 with Wing ,Bricks Printed
6141,Plate Round 1 x 1 with Solid Stud,Plates Round and Dishes
3040b,Slope 45° 2 x 1 with Bottom Pin,Bricks Sloped
32039,Technic Axle Connector with Axle Hole,Technic Connectors
3685,Slope 75° 2 x 2 x 3 Double Convex,Bricks Sloped
60128stk01,Sticker Sheet for Set 60128 - 24523/6133160 or 24521/6133146,Non-LEGO
43719,Wedge Plate 4 x 4 with 2 x 2 Cutout,Plates Angled
973pr3694,"Mini Upper Part, No. 3694",Minifigs
32474pr1009,Technic Ball Joint with Black Eyes and Blue Smile print (Snowgie Head),Technic Special
2454a,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,Bricks
3003,Brick 2 x 2,Bricks
4162pr0050,"Flat Tile 1X8, No. 50",Tiles Printed
23012,HIP W. WOODEN LEG / 2K LEFT LEG NO.926,Minifigs
48933,Wedge 4 x 4 Triple with Stud Notches,Bricks Wedged
60479,Plate 1 x 12,Plates
2412b,Tile Special 1 x 2 Grille with Bottom Groove,Tiles Special
15207,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],Panels
3069b,Tile 1 x 2 with Groove,Tiles
63864pr006,Tile 1 x 3 with 'Police Public Call Box' Left Side,Tiles Printed
92456pr0087,"Torso Friends - Lime Sleeveless Vest and Necklace over Black and Gold Top with Flower print, Light Flesh Arms and Hands",Minifigs
92456pr0088,"Torso Friends - Lime Strapless Top with Lavender Trim and Silver and Magenta Flowers Pattern, Light Flesh Arms and Hands",Minifigs
52924,PLATE 2X4 WHEEL CONNECTOR,Other
85984,Slope 30° 1 x 2 x 2/3,Bricks Sloped
19540,Technic Grabber Arm Claw with 3L Thick Beam [Type 2],Technic Special
60897,Plate Special 1 x 1 with Clip Vertical [Thick Open O Clip],Plates Special
87087,Brick Special 1 x 1 with Stud on 1 Side,Bricks Special
4865a,Panel 1 x 2 x 1 [Square Corners],Panels
27329,Hand,Other
48995pb07,"Tile, Modified 3 x 2 with Hole with Lego Logo Small and '©2013 Viacom and the LEGO Group.' Print",Tiles Special
21608,Raptor Bridle with Camera,Plants and Animals
970c00pr1193,"MINI LOWER PART, NO. 1193",Minifigs
50935,Bionicle Weapon Hordika Fang Blade [Plain],Other
2443,Hinge Window Frame 1 x 4 x 3 with Octagonal Panel,Windows and Doors
20483,Minifig Head Modified Simpsons Dr. Hibbert [Plain],Other
22387,Panel 2 x 6 x 6 with Window Slot,Panels
973pr3540c01,"Torso Pirate Vest Tattered, Belt, Gold Buckle, Chest Hair Pattern / Yellow Arm Left / Yellow Arm Right with Anchor Tattoo Pattern / Yellow Hands",Minifigs
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Plates Round and Dishes
95443,"BOW 2X4X2, DEC. HOSPITAL",Other
4070,Brick Special 1 x 1 with Headlight and No Slot,Bricks Special
32064a,Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Pin,Technic Bricks
95447,"BRICK 1X2X2, DEC.SIGHT TEST",Other
95431,"BRICK 1X2X2, DEC. X-RAY",Other
94301,STANDARD 2X3X1½ W. 2 KNOBS,Other
96151,"BRICK 1X2X2,DEC.DIAGRAMME",Other
62873,REFRIGERATOR DOOR,Other
3747a,Slope Inverted 33° 3 x 2 [No Connections between Studs],Bricks Sloped
6424,DUPLO STRETCHER,Other
61197,DRIVER`S CAB SNAP PART,Other
59187,SHOVEL 5X4X5,Other
59181,WAGGON BOTTOM 6X8X2 W. 4WH.,Other
54805,DUPLO CONE 2X2X2 DEC,Other
89813,CRANE LEVER W. SPRINGY C-GRIPP,Other
59351,DRIVER`S CAB 6X5X4 ASS.,Other
64772,LEVER BACK 2X4X2,Other
